"","symbol","tair","top_spear_cor"
"AT2G31360","ATADS2","AT2G31360",0.16120559367821
"AT3G20260","None","AT3G20260",0.161074841102217
"AT1G30950","UFO","AT1G30950",0.160864975785987
"AT5G58630","TRM31","AT5G58630",0.160856858424236
"AT5G04040","SDP1","AT5G04040",0.160556642698172
"AT1G48750","None","AT1G48750",0.160546806473748
"AT4G36730","GBF1","AT4G36730",0.160410902946246
"AT2G46280","TRIP1","AT2G46280",0.16037341797055
"AT1G70510","KNAT2","AT1G70510",0.160275989653395
"AT2G03110","None","AT2G03110",0.160190376476647
"AT2G33500","BBX12","AT2G33500",0.160179077054524
"AT4G30340","DGK7","AT4G30340",0.160146652180219
"AT5G38750","None","AT5G38750",0.159923354578475
"AT5G16030","None","AT5G16030",0.15967762790416
"AT1G10210","MPK1","AT1G10210",0.15956476190869
"AT1G33330","None","AT1G33330",0.15956476190869
"AT5G12930","None","AT5G12930",0.15956476190869
"AT2G45660","SOC1","AT2G45660",0.159406474364093
"AT5G19660","S1P","AT5G19660",0.15929667157139
"AT3G13882","None","AT3G13882",0.159291746419851
"AT3G03440","None","AT3G03440",0.159257264639941
"AT5G03515","None","AT5G03515",0.159257264639941
